age_upon_outcome,sex_upon_outcome,animal_type,breed,color
35,3,1,440,388
35,3,1,440,388
42,3,1,900,115
35,3,1,590,374
31,3,1,590,374
44,3,0,552,184
42,2,1,838,260
38,2,1,590,154
9,3,1,1037,444
7,2,1,768,213
44,2,1,768,213
42,2,1,768,213
17,3,1,824,432
7,2,0,43,447
40,1,1,557,388
38,2,1,153,416
40,2,1,720,55
42,2,1,1008,52
10,3,1,720,7
10,3,1,720,7
10,3,1,720,7
7,3,1,720,7
42,3,1,720,7
44,2,1,838,260
38,2,1,838,260
31,2,0,552,136
40,2,0,552,91
7,2,1,398,388
35,2,1,901,115
35,2,1,719,213
44,2,1,900,154
7,3,0,552,55
7,3,1,397,171
35,3,1,903,173
7,2,1,502,416
44,2,1,502,416
7,3,1,383,37
44,3,1,141,444
42,3,1,901,128
42,3,1,901,128
44,2,1,901,445
44,2,1,901,445
44,2,1,901,445
38,2,1,901,445
38,2,1,397,115
11,3,1,993,416
40,3,1,91,117
40,3,1,65,372
44,2,1,229,55
42,2,1,901,55
35,2,1,312,374
38,3,1,901,246
38,2,1,781,55
38,3,1,115,215
42,2,1,115,416
9,1,1,479,117
12,3,1,230,477
42,3,1,1009,37
40,3,1,1009,37
35,3,1,1009,37
44,3,1,824,52
35,3,1,824,52
42,3,1,901,115
40,3,1,878,449
10,2,1,256,432
38,2,1,719,175
31,2,1,115,37
42,3,1,237,416
9,2,1,152,416
35,2,0,552,297
35,2,0,552,297
9,2,1,140,416
35,2,1,398,372
7,2,0,552,222
35,2,1,314,128
31,3,0,544,149
11,3,1,901,128
40,2,1,398,55
38,2,1,754,444
7,2,1,229,55
35,3,0,552,184
35,3,1,719,199
35,2,1,900,115
44,2,1,194,432
42,2,1,194,432
7,3,1,6,154
38,3,1,115,171
38,3,0,552,434
40,2,1,839,432
40,2,1,839,432
40,3,1,351,117
40,3,1,351,117
38,3,1,351,117
35,3,1,351,117
35,3,1,901,55
31,3,1,901,55
35,2,1,901,432
38,3,1,271,118
44,2,0,544,55
42,2,0,544,55
7,3,1,825,432
31,2,1,108,326
38,3,1,967,7
42,1,1,720,7
42,1,1,720,7
40,2,1,509,372
42,3,0,544,391
10,3,1,153,55
40,2,1,1014,52
40,2,1,1014,52
42,3,0,544,136
40,3,0,544,136
35,3,1,901,434
44,2,1,153,372
42,2,1,153,372
42,2,1,398,372
31,3,1,734,55
40,3,1,901,173
35,3,1,99,311
35,3,1,780,7
42,2,1,758,236
42,2,1,758,236
38,0,1,900,173
35,2,1,610,117
40,2,1,720,311
44,3,1,901,128
38,3,1,901,128
27,3,1,901,173
5,3,1,901,173
8,0,1,901,173
6,0,1,901,173
42,2,1,590,48
7,2,1,336,416
35,3,1,720,7
44,2,1,720,199
42,2,1,720,199
42,2,1,720,199
40,3,1,1034,52
44,2,1,222,115
31,2,1,590,173
40,3,0,544,7
42,3,1,901,173
40,3,1,901,173
40,3,1,901,173
31,3,1,901,173
38,1,1,589,52
31,3,1,398,416
42,2,1,229,55
31,3,1,398,52
38,2,1,398,52
38,2,1,398,52
35,2,1,398,52
35,2,1,720,416
44,2,1,299,266
44,2,0,552,14
31,3,0,552,184
40,3,0,552,55
40,3,0,552,55
38,2,0,552,297
38,3,1,502,117
44,3,1,217,372
35,2,1,398,175
42,3,1,901,445
35,3,1,901,445
44,2,1,479,52
31,2,1,65,434
7,2,1,629,175
35,3,1,720,55
42,2,1,900,435
40,2,1,900,435
38,2,1,900,435
38,3,1,590,416
42,2,1,1162,37
31,3,1,901,173
31,2,1,606,52
38,3,1,589,52
38,2,1,1155,266
38,2,1,1155,266
38,2,1,14,278
35,2,1,14,278
7,2,0,552,149
40,3,1,6,388
38,3,1,6,388
42,2,1,1055,55
35,3,1,230,55
42,3,1,457,388
